Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,176.220001,177.440002,176.220001,177.259995,1663900,170.03861
2013-12-30,176.50,177.119995,175.259995,175.729996,1241000,168.570942
2013-12-27,176.389999,176.449997,175.570007,176.350006,1716900,169.165694
2013-12-26,176.600006,176.759995,175.179993,176.449997,1320100,169.261611
2013-12-24,176.669998,176.679993,175.440002,176.160004,781300,168.983432
2013-12-23,175.880005,176.690002,175.50,176.470001,1585300,169.2808
2013-12-20,174.660004,175.789993,173.75,175.160004,3754300,168.024171
2013-12-19,174.610001,175.800003,174.00,174.770004,3094400,167.65006
2013-12-18,171.00,174.919998,169.990005,174.839996,4509600,167.7172
2013-12-17,171.270004,171.270004,169.710007,170.490005,2856700,163.544423
2013-12-16,169.309998,171.490005,169.089996,170.949997,2980000,163.985675
2013-12-13,168.589996,169.289993,167.600006,168.389999,2490600,161.529969
2013-12-12,166.589996,168.960007,166.520004,168.330002,2911900,161.472416
2013-12-11,169.509995,169.830002,167.130005,167.600006,2977100,160.772159
2013-12-10,167.869995,172.199997,167.520004,169.729996,4235400,162.815376
2013-12-09,168.00,169.130005,166.839996,167.669998,2589500,160.8393
2013-12-06,167.580002,167.960007,164.770004,167.210007,2708500,160.398048
2013-12-05,167.410004,167.960007,165.350006,165.559998,3564100,158.815259
2013-12-04,167.309998,169.929993,167.309998,168.699997,2328200,161.827338
2013-12-03,169.089996,170.759995,167.910004,168.050003,3288200,161.203824
2013-12-02,169.880005,171.580002,168.679993,169.720001,3121100,162.805788
2013-11-29,167.889999,170.380005,167.690002,168.940002,2018700,162.057566
2013-11-27,168.050003,168.809998,166.869995,168.220001,2285300,161.366897
2013-11-26,169.360001,170.690002,168.00,168.039993,2953400,160.666631
2013-11-25,168.50,170.50,168.50,169.479996,3101700,162.043448
2013-11-22,166.770004,168.240005,165.529999,168.100006,2680500,160.724011
2013-11-21,165.25,167.320007,165.009995,167.070007,3158500,159.739207
2013-11-20,166.759995,167.25,164.860001,165.00,2793100,157.760029
2013-11-19,165.869995,168.00,165.630005,166.600006,2691900,159.289829
2013-11-18,164.740005,167.649994,164.199997,165.679993,3555000,158.410184
2013-11-15,163.179993,165.419998,163.179993,164.399994,2667200,157.18635
2013-11-14,163.550003,163.949997,162.410004,163.199997,3648200,156.039007
2013-11-13,161.779999,163.710007,161.199997,162.940002,3398300,155.790421
2013-11-12,163.100006,164.380005,162.130005,162.889999,2239600,155.742612
2013-11-11,162.50,164.75,162.160004,163.839996,2289000,156.650924
2013-11-08,160.389999,163.690002,159.880005,163.169998,3856000,156.010325
2013-11-07,164.039993,164.210007,159.610001,159.639999,3490300,152.635217
2013-11-06,162.529999,164.300003,162.330002,163.520004,3593700,156.344973
2013-11-05,161.669998,162.630005,160.779999,161.949997,2529400,154.843855
2013-11-04,162.419998,163.240005,161.589996,163.160004,1711000,156.000769
2013-11-01,161.029999,162.600006,160.720001,162.050003,2738400,154.939473
2013-10-31,162.089996,163.350006,160.860001,160.860001,2785000,153.801687
2013-10-30,162.559998,162.970001,161.149994,162.050003,2344200,154.939473
2013-10-29,162.070007,163.110001,161.009995,162.110001,3702100,154.996838
2013-10-28,162.00,162.190002,160.25,161.449997,3341500,154.365795
2013-10-25,160.00,162.240005,159.910004,162.089996,3721000,154.977712
2013-10-24,159.449997,160.350006,158.830002,159.960007,2591000,152.941183
2013-10-23,158.020004,158.080002,156.559998,157.740005,2735800,150.818593
2013-10-22,160.639999,160.710007,158.229996,159.25,3239400,152.262331
2013-10-21,158.669998,160.649994,158.25,159.770004,2695400,152.759518
2013-10-18,158.839996,159.699997,156.679993,158.690002,4982100,151.726905
2013-10-17,156.479996,159.199997,155.990005,158.320007,7522100,151.373145
2013-10-16,158.580002,162.50,157.50,162.25,3649300,155.130695
2013-10-15,159.809998,160.039993,157.509995,157.630005,3038000,150.713419
2013-10-14,158.220001,159.919998,157.50,159.460007,2428100,152.463122
2013-10-11,158.490005,160.490005,157.520004,160.00,3124900,152.979422
2013-10-10,156.830002,158.240005,156.00,158.009995,3639000,151.076735
2013-10-09,153.559998,155.320007,152.830002,154.440002,3227500,147.663389
2013-10-08,154.619995,155.850006,153.00,153.050003,2917200,146.334381
2013-10-07,155.169998,156.199997,154.220001,154.25,2618000,147.481724
2013-10-04,157.080002,157.25,156.089996,156.550003,2984500,149.680806
2013-10-03,158.630005,159.160004,155.460007,156.850006,2949500,149.967645
2013-10-02,157.690002,159.580002,157.520004,158.669998,2431000,151.707778
2013-10-01,158.860001,160.309998,157.559998,159.00,2465300,152.0233
2013-09-30,157.720001,159.139999,156.570007,158.210007,2803600,151.267971
2013-09-27,160.690002,160.949997,159.429993,159.850006,3679100,152.836009
2013-09-26,162.899994,163.929993,161.039993,162.289993,2711400,155.168933
2013-09-25,163.259995,163.690002,161.160004,162.309998,3614600,155.18806
2013-09-24,165.520004,166.399994,162.970001,162.970001,3422600,155.819103
2013-09-23,168.179993,168.460007,164.720001,165.25,4816200,157.999059
2013-09-20,168.00,169.75,164.029999,169.75,20410100,162.301605
2013-09-19,169.690002,170.00,166.880005,167.779999,3534700,160.418045
2013-09-18,166.50,169.089996,165.639999,168.059998,3422400,160.685758
2013-09-17,167.190002,167.580002,165.660004,167.419998,2653700,160.073841
2013-09-16,166.309998,168.570007,165.190002,167.029999,3553100,159.700954
2013-09-13,164.380005,164.720001,162.960007,164.00,2231500,156.803907
2013-09-12,164.839996,165.309998,163.070007,163.350006,2690000,156.182434
2013-09-11,164.929993,165.789993,163.779999,165.059998,2233100,157.817393
2013-09-10,162.979996,165.529999,162.559998,165.139999,5265900,157.893885
2013-09-09,157.410004,159.699997,157.160004,159.490005,2150400,152.491805
2013-09-06,156.979996,157.710007,153.419998,156.660004,2464000,149.78598
2013-09-05,155.990005,158.050003,155.570007,156.169998,2443900,149.317475
2013-09-04,154.759995,157.25,154.350006,155.740005,2194200,148.90635
2013-09-03,154.479996,156.039993,153.520004,154.759995,2464800,147.96934
2013-08-30,153.770004,153.979996,151.330002,152.130005,2234000,145.454751
2013-08-29,152.369995,154.679993,152.089996,153.630005,2133000,146.888933
2013-08-28,153.00,154.149994,151.449997,152.970001,2343200,146.257889
2013-08-27,155.720001,156.529999,152.929993,153.229996,3672000,146.028416
2013-08-26,158.410004,160.699997,157.75,157.899994,1885200,150.478931
2013-08-23,159.589996,159.789993,158.00,158.649994,1495800,151.193682
2013-08-22,157.809998,159.660004,157.199997,159.410004,2302700,151.917972
2013-08-21,158.779999,159.229996,156.509995,157.110001,3053800,149.726066
2013-08-20,158.720001,160.029999,157.779999,159.559998,2288700,152.060917
2013-08-19,160.169998,160.789993,158.529999,158.630005,2228400,151.174632
2013-08-16,160.279999,162.289993,160.029999,160.660004,2024300,153.109224
2013-08-15,161.910004,161.970001,160.070007,160.75,2206900,153.194991
2013-08-14,163.850006,164.800003,162.929993,163.339996,1667400,155.663261
2013-08-13,161.990005,164.550003,160.949997,163.710007,2309600,156.015882
2013-08-12,161.729996,162.380005,160.550003,161.690002,1982000,154.090815
2013-08-09,162.399994,164.100006,162.020004,162.130005,2012000,154.510138
2013-08-08,164.75,166.429993,162.830002,162.839996,2818400,155.186761
2013-08-07,164.00,164.229996,162.050003,163.449997,2131000,155.768092
2013-08-06,168.070007,168.279999,164.470001,164.779999,3598500,157.035586
2013-08-05,167.279999,169.690002,166.440002,168.320007,2618400,160.409219
2013-08-02,166.830002,167.899994,166.460007,167.619995,1866700,159.742107
2013-08-01,165.740005,167.899994,164.880005,167.490005,3251900,159.618226
2013-07-31,162.529999,165.970001,162.429993,164.029999,3700300,156.320835
2013-07-30,163.490005,164.009995,162.330002,162.429993,2553300,154.796027
2013-07-29,164.630005,164.830002,162.020004,163.169998,2823600,155.501253
2013-07-26,165.050003,165.649994,164.270004,165.259995,2372200,157.493023
2013-07-25,164.279999,166.00,163.690002,165.910004,2236200,158.112482
2013-07-24,166.75,166.889999,164.440002,165.039993,2548100,157.283361
2013-07-23,166.50,167.410004,165.479996,166.259995,2545400,158.446024
2013-07-22,163.949997,166.330002,163.880005,166.25,2741100,158.436499
2013-07-19,163.75,164.850006,162.580002,164.360001,3329700,156.635327
2013-07-18,161.580002,164.580002,161.50,164.059998,3462700,156.349424
2013-07-17,159.839996,161.990005,159.50,161.50,3715000,153.909742
2013-07-16,163.919998,164.300003,159.429993,160.240005,5972700,152.708965
2013-07-15,162.800003,163.389999,161.160004,163.00,4129900,155.339244
2013-07-12,158.619995,160.279999,158.550003,160.110001,2844600,152.585071
2013-07-11,158.50,159.740005,156.110001,157.710007,2965700,150.297873
2013-07-10,156.570007,157.619995,154.669998,155.830002,2430100,148.506225
2013-07-09,154.990005,157.440002,153.169998,156.940002,3127100,149.564058
2013-07-08,154.580002,154.800003,152.880005,153.809998,2699100,146.581158
2013-07-05,152.300003,153.289993,151.50,153.240005,2243700,146.037955
2013-07-03,149.619995,151.419998,149.279999,150.429993,1267700,143.360009
2013-07-02,151.160004,153.190002,149.899994,150.919998,3091600,143.826985
2013-07-01,152.779999,154.100006,151.699997,151.75,2496100,144.617977
2013-06-28,152.690002,152.770004,151.00,151.25,3011300,144.141477
2013-06-27,153.029999,154.990005,152.610001,153.509995,2654900,146.295255
2013-06-26,154.479996,154.559998,150.75,151.660004,3580400,144.532211
2013-06-25,152.449997,154.309998,151.550003,153.059998,3274600,145.866407
2013-06-24,151.990005,152.600006,148.710007,150.779999,4013200,143.693565
2013-06-21,157.00,157.259995,152.300003,154.25,5390200,147.000481
2013-06-20,159.149994,159.990005,154.839996,155.410004,6488600,148.105966
2013-06-19,164.160004,164.929993,161.509995,161.559998,3557100,153.96692
2013-06-18,164.149994,164.869995,163.050003,164.149994,2060700,156.43519
2013-06-17,164.080002,165.669998,162.899994,164.110001,2628300,156.397077
2013-06-14,165.740005,166.110001,162.910004,162.919998,2970600,155.263003
2013-06-13,161.199997,166.389999,161.070007,165.820007,3768500,158.026716
2013-06-12,164.979996,164.979996,161.070007,161.860001,3243300,154.252823
2013-06-11,165.350006,166.399994,163.190002,163.309998,3858100,155.634673
2013-06-10,166.699997,168.199997,165.289993,167.490005,3914200,159.618226
2013-06-07,160.970001,166.169998,160.589996,166.009995,5690300,158.207774
2013-06-06,158.300003,159.789993,156.339996,159.679993,3243900,152.175272
2013-06-05,161.429993,162.889999,157.550003,158.300003,4138300,150.86014
2013-06-04,163.460007,165.740005,160.50,161.679993,3977300,154.081275
2013-06-03,161.559998,163.740005,159.789993,163.559998,4557300,155.872923
2013-05-31,163.949997,165.830002,162.070007,162.080002,4404800,154.462485
2013-05-30,162.660004,165.449997,161.00,164.350006,4336200,156.625802
2013-05-29,159.740005,164.130005,159.410004,162.869995,4969100,155.21535
2013-05-28,160.919998,162.679993,159.910004,160.699997,4471200,153.147338
2013-05-24,155.570007,158.919998,155.289993,158.720001,3317100,150.783895
2013-05-23,156.360001,158.889999,154.619995,157.410004,5619800,149.539398
2013-05-22,160.610001,164.470001,158.529999,159.339996,6176200,151.37289
2013-05-21,158.669998,161.740005,158.529999,160.729996,4077900,152.693389
2013-05-20,157.580002,160.490005,157.520004,158.899994,4010100,150.954888
2013-05-17,155.410004,158.699997,155.00,158.179993,4177000,150.270887
2013-05-16,154.729996,157.490005,153.960007,154.470001,3233800,146.746398
