Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,554.170013,561.279976,554.000023,561.019997,55771100,75.499047
2013-12-30,557.460022,560.089989,552.319984,554.519981,63407400,74.62431
2013-12-27,563.820007,564.409981,559.500015,560.089989,56471100,75.373891
2013-12-26,568.099998,569.499977,563.379997,563.900009,51002000,75.886623
2013-12-24,569.889999,571.880005,566.029991,567.669975,41888700,76.393965
2013-12-23,568.000023,570.719978,562.76001,570.090004,125326600,76.719639
2013-12-20,545.43,551.610008,544.82,549.019989,109103400,73.88415
2013-12-19,549.50,549.999985,543.729988,544.459991,80077200,73.270491
2013-12-18,549.700005,551.450005,538.799995,550.769989,141465800,74.119656
2013-12-17,555.809998,559.439987,553.379982,554.990005,57475600,74.687563
2013-12-16,555.02002,562.640007,555.009979,557.500023,70648200,75.025348
2013-12-13,562.849998,562.880013,553.669975,554.429993,83205500,74.6122
2013-12-12,562.140022,565.339989,560.030014,560.539986,65572500,75.434449
2013-12-11,567.00,570.970024,559.68998,561.359978,89929700,75.5448
2013-12-10,563.580002,567.88002,561.199974,565.54998,69567400,76.108668
2013-12-09,560.899994,569.579979,560.899994,566.43,80123400,76.227096
2013-12-06,565.789986,566.750008,559.569977,560.019974,86088100,75.364469
2013-12-05,572.650009,575.139999,566.410027,567.899994,111895000,76.42492
2013-12-04,565.499992,569.19001,560.819992,565.000008,94452400,76.034655
2013-12-03,558.299988,566.380013,557.68,566.319984,112742000,76.212291
2013-12-02,558.000008,564.329979,550.819977,551.230026,118136200,74.181565
2013-11-29,549.480026,558.330002,547.809975,556.069977,79531900,74.8329
2013-11-27,536.310005,546.00,533.399979,545.959999,90862100,73.472353
2013-11-26,524.11998,536.140015,523.999977,533.399979,100345700,71.782094
2013-11-25,521.019989,525.86998,521.000015,523.739998,57327900,70.482106
2013-11-22,519.519981,522.159988,518.529999,519.799988,55931400,69.95188
2013-11-21,517.599991,521.210007,513.670021,521.139992,65506700,70.132211
2013-11-20,519.229988,520.419975,514.330009,514.999985,48479200,69.305922
2013-11-19,519.029984,523.37999,517.969986,519.549995,52234700,69.918238
2013-11-18,524.990013,527.19001,518.200005,518.629974,61236000,69.794426
2013-11-15,526.580009,529.089973,524.489975,524.990013,79480100,70.650326
2013-11-14,522.80999,529.279991,521.869995,528.160019,70604800,71.076928
2013-11-13,518.00,522.249977,516.959976,520.63002,49305200,70.063581
2013-11-12,517.670006,523.919975,516.999977,520.009979,51069200,69.98014
