Date,Open,High,Low,Close,Volume,Adj Close
2000-12-29,14.687501,15.00,14.50,14.875,157584000,0.967777
2000-12-28,14.375,14.9375,14.3125,14.8125,76294400,0.963711
2000-12-27,14.343699,14.8125,14.187499,14.8125,81366600,0.963711
2000-12-26,14.875,15.00,14.250001,14.687501,54203800,0.955578
2000-12-22,14.125,15.00,14.125,15.00,79513000,0.975909
2000-12-21,14.250001,15.00,13.875,14.0625,91711200,0.914915
2000-12-20,13.7812,14.624999,13.625,14.375,141332800,0.935247
2000-12-19,14.375,15.25,14.00,14.00,93501800,0.910849
2000-12-18,14.5625,14.624999,13.9375,14.250001,81452000,0.927114
2000-12-15,14.5625,14.687501,14.00,14.0625,128486400,0.914915
2000-12-14,15.0312,15.25,14.4375,14.4375,65829400,0.939313
2000-12-13,15.562501,15.562501,14.875,15.00,86221800,0.975909
2000-12-12,15.25,16.000001,15.00,15.375,96565000,1.000307
2000-12-11,15.1875,15.375,14.875,15.1875,83127800,0.988108
2000-12-08,14.8125,15.3125,14.4375,15.062499,108906000,0.979976
2000-12-07,14.4375,14.875,14.00,14.3125,102229400,0.93118
2000-12-06,14.624999,15.00,14.00,14.3125,343616000,0.93118
2000-12-05,16.9375,17.4375,16.374999,17.00,153494600,1.106031
2000-12-04,17.1875,17.1875,16.437501,16.6875,92880200,1.085699
2000-12-01,17.00,17.50,16.812499,17.0625,96426400,1.110097
2000-11-30,16.6875,17.00,16.125,16.50,202399400,1.0735
2000-11-29,18.0937,18.3125,17.249999,17.5625,123037600,1.142627
2000-11-28,18.6875,18.999999,17.9375,18.0312,67281200,1.173121
2000-11-27,19.874999,19.937501,18.50,18.6875,64698200,1.215821
2000-11-24,18.8593,19.500001,18.8125,19.3125,40233200,1.256483
2000-11-22,18.8125,19.125,18.375,18.50,70133000,1.203622
2000-11-21,19.1875,19.500001,18.75,18.8125,75488000,1.223953
2000-11-20,18.5937,19.500001,18.25,18.9375,102016600,1.232086
2000-11-17,19.1875,19.25,18.25,18.50,111545000,1.203622
2000-11-16,19.500001,19.8125,18.875,18.999999,59843000,1.236152
2000-11-15,20.031199,20.1875,19.25,19.874999,70589400,1.29308
2000-11-14,19.937501,20.50,19.5625,20.25,102250400,1.317478
2000-11-13,18.75,20.00,18.25,19.375,107954000,1.26055
2000-11-10,19.3593,19.874999,19.062501,19.062501,105562800,1.240218
2000-11-09,19.874999,20.50,19.062501,20.1875,119208600,1.313412
2000-11-08,21.375,21.4375,19.8125,20.0625,105522200,1.305279
2000-11-07,21.50,21.8125,20.812501,21.3125,75490800,1.386605
2000-11-06,22.4375,22.625,20.875,21.4375,98369600,1.394737
2000-11-03,23.000001,23.000001,21.9375,22.25,128955400,1.447599
2000-11-02,21.125,22.4375,21.0625,22.3125,147673400,1.451665
2000-11-01,19.437499,20.875,19.437499,20.50,143841600,1.333743
2000-10-31,19.75,20.25,19.25,19.5625,221470200,1.272749
2000-10-30,19.125,19.937501,18.75,19.3125,159797400,1.256483
2000-10-27,18.875,19.1875,17.875,18.562499,186125800,1.207688
2000-10-26,18.8125,18.875,17.50,18.50,180462800,1.203622
2000-10-25,19.062501,19.1875,18.4375,18.50,165992400,1.203622
2000-10-24,20.6875,20.875,18.8125,18.875,201112800,1.228019
2000-10-23,20.265601,20.5625,19.437499,20.375001,137823000,1.32561
2000-10-20,19.062501,20.375001,18.9375,19.500001,197815800,1.268682
2000-10-19,19.156199,19.8125,18.3125,18.9375,376681200,1.232086
2000-10-18,19.437499,21.0625,18.75,20.125,208566400,1.309345
2000-10-17,21.687501,21.9375,19.6875,20.125,150430000,1.309345
2000-10-16,22.3125,23.25,21.375,21.50,205044000,1.398804
2000-10-13,20.25,22.125001,20.00,22.062499,311938200,1.4354
2000-10-12,20.312499,20.812501,19.500001,20.00,297766000,1.301213
2000-10-11,20.125,21.00,19.125,19.625,299605600,1.276815
2000-10-10,21.624999,22.4375,20.50,20.875,172775400,1.358141
2000-10-09,22.625,22.875,21.125,21.75,149391200,1.415069
2000-10-06,22.6875,22.937499,21.00,22.1875,153164200,1.443533
2000-10-05,23.50,24.50,22.00,22.062499,218251600,1.4354
2000-10-04,22.375,23.75,21.875,23.625,366506000,1.537057
2000-10-03,24.9375,25.00,22.1875,22.3125,509530000,1.451665
2000-10-02,26.6875,26.75,23.50,24.249999,606197200,1.57772
2000-09-29,28.187501,29.00,25.375,25.75,1855410200,1.675311
2000-09-28,49.3125,53.8125,48.125,53.50,244896400,3.480744
2000-09-27,51.75,52.749999,48.25,48.937499,100564800,3.183905
2000-09-26,53.312499,54.750001,51.375001,51.437499,72734200,3.346556
2000-09-25,52.749999,55.499999,52.0625,53.50,108887800,3.480744
2000-09-22,50.3125,52.437499,50.00,52.1875,181675200,3.395352
2000-09-21,58.499997,59.625003,55.25,56.687499,127622600,3.688125
2000-09-20,59.406199,61.437501,58.562502,61.046798,56847000,3.971743
2000-09-19,59.749999,60.500003,58.562502,59.9375,67877600,3.899572
