Date,Open,High,Low,Close,Volume,Adj Close
2001-12-31,22.51,22.66,21.830001,21.900001,34445600,1.424828
2001-12-28,21.970001,23.000001,21.96,22.429999,74781000,1.45931
2001-12-27,21.58,22.25,21.58,22.069999,47877200,1.435888
2001-12-26,21.35,22.30,21.14,21.49,36600200,1.398153
2001-12-24,20.899999,21.45,20.899999,21.36,12657400,1.389695
2001-12-21,21.01,21.540001,20.80,21.00,64083600,1.366273
2001-12-20,21.400001,21.470001,20.62,20.670001,55216000,1.344803
2001-12-19,20.58,21.680001,20.47,21.619999,72489200,1.406611
2001-12-18,20.890001,21.329999,20.220001,21.01,58809800,1.366924
2001-12-17,20.40,21.00,20.19,20.62,43428000,1.34155
2001-12-14,20.73,20.829999,20.089999,20.389999,47471200,1.326586
2001-12-13,21.49,21.549999,20.50,21.00,49460600,1.366273
2001-12-12,21.87,21.919999,21.250001,21.49,48115200,1.398153
2001-12-11,22.67,22.850001,21.65,21.779999,51368800,1.417021
2001-12-10,22.289999,22.99,22.23,22.54,42502600,1.466467
2001-12-07,22.46,22.710001,22.00,22.54,50878800,1.466467
2001-12-06,23.48,23.50,22.139999,22.780001,84733600,1.482081
2001-12-05,22.359999,24.029999,22.17,23.76,142144800,1.545841
2001-12-04,21.049999,22.560001,20.72,22.40,95104800,1.457358
2001-12-03,21.06,21.28,20.599999,21.049999,45291400,1.369526
2001-11-30,20.47,21.44,20.25,21.30,75978000,1.385791
2001-11-29,20.599999,20.70,20.19,20.42,50691200,1.328538
2001-11-28,20.85,21.21,20.41,20.529999,62652800,1.335695
2001-11-27,21.20,21.52,20.50,21.00,67138400,1.366273
2001-11-26,19.940001,21.549999,19.879999,21.37,115172400,1.390346
2001-11-23,19.710001,19.949999,19.570001,19.84,15001000,1.290803
2001-11-21,19.61,19.799999,19.26,19.68,50395800,1.280393
2001-11-20,19.82,20.20,19.500001,19.53,69146000,1.270634
2001-11-19,18.999999,20.05,18.96,20.00,83147400,1.301213
2001-11-16,19.27,19.289999,18.400001,18.97,57666000,1.2342
2001-11-15,19.45,19.90,19.23,19.45,53257400,1.265429
2001-11-14,19.589999,19.90,19.149999,19.61,55287400,1.275839
2001-11-13,19.079999,19.39,18.709999,19.369999,56168000,1.260224
