Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,196.649994,196.830002,193.770004,193.830002,1566800,188.377761
2014-12-30,195.50,196.50,194.580002,195.710007,1136200,190.204884
2014-12-29,195.570007,196.960007,194.820007,196.190002,1219900,190.671377
2014-12-26,196.089996,196.490005,195.399994,195.449997,1016300,189.952188
2014-12-24,196.610001,196.75,195.009995,195.889999,694200,190.379813
2014-12-23,195.339996,196.100006,194.729996,195.50,2346100,190.000784
2014-12-22,193.919998,194.50,192.759995,194.440002,3056400,188.970603
2014-12-19,192.259995,195.00,192.029999,193.279999,4798200,187.843229
2014-12-18,188.00,191.660004,187.809998,191.610001,4209600,186.220206
2014-12-17,184.110001,186.50,183.630005,185.029999,5074800,179.825293
2014-12-16,183.960007,186.929993,182.399994,183.309998,4181900,178.153674
2014-12-15,190.240005,190.809998,185.410004,185.539993,4729100,180.320942
2014-12-12,191.710007,192.639999,188.070007,188.820007,3838900,183.508693
2014-12-11,193.00,194.940002,192.50,193.539993,3179500,188.09591
2014-12-10,195.479996,195.990005,191.600006,192.00,6506700,186.599236
2014-12-09,193.690002,197.220001,192.899994,196.889999,4568400,191.351684
2014-12-08,195.449997,198.059998,194.509995,196.619995,2715000,191.089275
2014-12-05,192.720001,196.929993,192.539993,195.449997,3625500,189.952188
2014-12-04,190.779999,192.339996,189.960007,191.949997,3123400,186.550639
2014-12-03,189.75,191.820007,189.330002,190.949997,3049600,185.578768
2014-12-02,189.309998,190.940002,188.809998,190.190002,3116100,184.840151
2014-12-01,188.00,188.619995,185.589996,188.199997,2469000,182.906123
2014-11-28,188.399994,189.490005,188.119995,188.410004,1195200,183.110222
2014-11-26,189.919998,189.919998,187.729996,188.520004,2024000,182.634013
2014-11-25,190.50,190.50,188.199997,188.860001,3677900,182.963394
2014-11-24,190.139999,190.889999,189.669998,190.070007,2028800,184.135622
2014-11-21,191.520004,191.660004,189.369995,189.589996,2367900,183.670598
2014-11-20,187.820007,189.860001,187.550003,189.75,2850000,183.825606
2014-11-19,189.710007,189.990005,188.190002,189.190002,2260100,183.283092
2014-11-18,189.619995,190.660004,189.589996,189.639999,1810300,183.719039
2014-11-17,189.520004,191.190002,189.220001,189.929993,1593400,183.999978
2014-11-14,190.360001,190.839996,189.619995,189.979996,1691600,184.04842
2014-11-13,190.839996,191.190002,189.199997,190.240005,1749600,184.300312
