Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,181.160004,182.889999,180.029999,180.229996,1683600,177.471461
2015-12-30,183.279999,183.529999,181.839996,182.009995,1514300,179.224215
2015-12-29,182.820007,184.179993,182.50,183.529999,1848900,180.720955
2015-12-28,181.770004,181.929993,179.839996,181.619995,1723300,178.840185
2015-12-24,182.270004,183.169998,182.020004,182.470001,1107600,179.677181
2015-12-23,180.699997,183.00,180.460007,182.949997,2367900,180.14983
2015-12-22,178.899994,180.690002,177.050003,180.050003,2312800,177.294223
2015-12-21,177.50,178.149994,175.830002,177.75,2472900,175.029423
2015-12-18,181.199997,181.899994,175.389999,175.490005,6740800,172.804019
2015-12-17,186.880005,187.889999,182.610001,182.610001,2807900,179.815038
2015-12-16,184.009995,186.880005,181.679993,186.210007,3191700,183.359944
2015-12-15,178.979996,183.279999,178.850006,182.009995,3398700,179.224215
2015-12-14,176.669998,178.630005,172.899994,176.399994,5102400,173.700079
2015-12-11,179.679993,180.149994,175.470001,176.559998,3750100,173.857634
2015-12-10,180.990005,183.929993,180.309998,182.110001,2188000,179.322691
2015-12-09,182.020004,184.850006,179.830002,180.710007,3907500,177.944125
2015-12-08,183.919998,184.470001,181.839996,182.919998,2663800,180.120291
2015-12-07,190.00,190.119995,185.00,185.490005,3499900,182.650963
2015-12-04,185.610001,190.619995,184.75,189.990005,3517200,187.082087
2015-12-03,190.660004,191.649994,184.729996,185.199997,3599000,182.365393
2015-12-02,193.300003,193.839996,189.800003,190.259995,1817200,187.347944
2015-12-01,191.220001,193.149994,190.009995,193.070007,4140900,190.114948
2015-11-30,190.50,191.080002,189.240005,190.020004,3415000,187.111627
2015-11-27,189.160004,191.190002,188.850006,190.470001,1092700,186.914683
2015-11-25,188.990005,189.770004,188.149994,189.149994,1495600,185.619315
2015-11-24,188.020004,189.800003,186.559998,188.669998,2679400,185.148279
2015-11-23,191.300003,191.490005,188.520004,189.190002,2671700,185.658576
2015-11-20,193.00,193.490005,191.110001,191.470001,2932100,187.896017
2015-11-19,193.820007,194.210007,191.669998,193.029999,1835800,189.426895
2015-11-18,191.050003,194.050003,191.009995,193.660004,2509200,190.04514
2015-11-17,192.669998,193.00,190.320007,190.570007,1783800,187.012822
2015-11-16,189.990005,192.160004,188.009995,192.160004,4626600,188.573139
2015-11-13,192.630005,193.380005,190.059998,190.389999,2484000,186.836174
2015-11-12,196.190002,196.190002,192.259995,192.770004,3166900,189.171754
2015-11-11,198.289993,198.929993,196.729996,197.389999,1637500,193.705512
2015-11-10,196.580002,198.220001,195.279999,197.809998,2149900,194.11767
2015-11-09,199.039993,199.899994,196.320007,196.759995,2604400,193.087267
2015-11-06,196.00,199.470001,195.899994,199.169998,4270800,195.452285
2015-11-05,192.539993,193.279999,191.00,192.020004,2186300,188.435753
2015-11-04,191.00,192.889999,190.309998,191.649994,2174300,188.07265
2015-11-03,189.25,191.869995,189.050003,190.690002,2443200,187.130577
2015-11-02,188.320007,190.429993,187.679993,189.679993,2531500,186.13942
2015-10-30,189.759995,190.089996,187.240005,187.50,2791600,184.00012
2015-10-29,191.00,191.960007,189.330002,189.889999,3068100,186.345507
2015-10-28,186.710007,191.479996,186.169998,191.320007,3231900,187.748823
2015-10-27,186.00,186.830002,184.50,186.309998,1932300,182.83233
2015-10-26,187.100006,188.00,186.619995,187.009995,2573700,183.519261
2015-10-23,185.160004,186.360001,184.429993,185.50,2935700,182.037452
2015-10-22,180.229996,184.190002,180.199997,183.559998,2609600,180.133661
2015-10-21,186.220001,186.220001,179.550003,179.699997,3613800,176.345712
2015-10-20,185.199997,185.970001,183.899994,185.509995,2724900,182.04726
2015-10-19,183.479996,186.50,183.149994,185.740005,2665700,182.272977
2015-10-16,185.119995,186.649994,183.630005,185.179993,2977500,181.723418
2015-10-15,176.729996,185.75,175.759995,184.960007,5720100,181.507538
2015-10-14,180.729996,182.220001,179.139999,179.509995,3252000,176.159256
2015-10-13,179.570007,183.139999,179.50,180.970001,2918800,177.59201
2015-10-12,180.800003,181.199997,179.009995,180.229996,3059800,176.865817
2015-10-09,180.960007,182.289993,178.210007,179.190002,3334900,175.845237
2015-10-08,181.179993,182.470001,179.75,181.070007,3253400,177.690149
2015-10-07,181.800003,183.789993,180.539993,182.229996,2572200,178.828485
2015-10-06,180.199997,181.279999,179.470001,180.320007,1859100,176.954149
2015-10-05,178.229996,181.059998,177.830002,180.699997,3411900,177.327046
2015-10-02,172.139999,177.100006,169.869995,177.009995,4469900,173.705921
2015-10-01,174.399994,176.169998,173.039993,176.020004,3613000,172.73441
2015-09-30,174.580002,175.080002,172.160004,173.759995,2931500,170.516585
2015-09-29,173.009995,173.300003,167.490005,171.860001,4419100,168.652057
2015-09-28,178.460007,178.460007,172.75,173.020004,3898500,169.790408
2015-09-25,179.199997,181.110001,178.160004,179.830002,3026500,176.47329
2015-09-24,177.660004,177.979996,174.820007,176.910004,3910000,173.607796
2015-09-23,179.809998,180.190002,177.75,179.410004,2732600,176.061131
2015-09-22,180.889999,181.00,178.009995,179.720001,4166900,176.365342
2015-09-21,183.300003,184.410004,181.699997,183.350006,2947200,179.92759
2015-09-18,183.199997,183.380005,180.550003,180.940002,6529900,177.562571
2015-09-17,188.449997,190.570007,186.00,186.449997,3712600,182.969716
2015-09-16,187.960007,189.300003,186.589996,188.639999,2717800,185.11884
2015-09-15,184.779999,188.020004,184.190002,187.449997,3092800,183.95105
2015-09-14,185.600006,185.860001,183.300003,183.940002,2746000,180.506573
2015-09-11,185.429993,185.820007,183.320007,185.270004,2536800,181.811749
2015-09-10,185.449997,187.820007,184.770004,185.910004,3042600,182.439802
2015-09-09,189.550003,191.75,185.259995,185.679993,4756800,182.214085
2015-09-08,183.910004,186.309998,183.649994,185.880005,3060100,182.410363
2015-09-04,182.259995,182.830002,179.130005,180.380005,4295600,177.013026
2015-09-03,185.00,187.889999,184.279999,185.059998,2902200,181.605662
2015-09-02,184.869995,185.820007,182.509995,184.509995,3043800,181.065926
2015-09-01,184.240005,186.470001,181.080002,182.119995,5494500,178.720538
2015-08-31,187.690002,190.25,187.179993,188.600006,2858000,185.079593
2015-08-28,187.589996,188.850006,186.259995,187.75,2413100,184.245453
2015-08-27,186.809998,189.860001,185.429993,189.210007,3798500,185.040335
2015-08-26,183.039993,185.059998,179.110001,184.399994,5561800,180.336322
2015-08-25,185.889999,187.330002,177.710007,178.220001,7204800,174.292519
2015-08-24,178.460007,186.889999,172.100006,179.460007,7183600,175.505199
2015-08-21,193.660004,194.600006,187.580002,187.740005,5406200,183.602729
2015-08-20,198.429993,199.220001,196.75,196.75,3140000,192.414168
2015-08-19,200.020004,202.75,199.139999,200.949997,2719600,196.521608
2015-08-18,202.119995,203.100006,201.179993,201.179993,1665400,196.746535
2015-08-17,201.009995,202.860001,199.779999,202.570007,1600700,198.105918
2015-08-14,200.830002,202.550003,200.740005,202.020004,3567100,197.568035
2015-08-13,200.720001,201.949997,199.580002,200.740005,3353600,196.316244
2015-08-12,199.899994,201.550003,196.580002,201.130005,2771900,196.697649
2015-08-11,203.50,203.919998,200.660004,201.699997,2554000,197.25508
2015-08-10,204.589996,206.570007,204.339996,205.970001,1640300,201.430985
2015-08-07,205.300003,206.639999,202.320007,203.440002,1691100,198.956741
2015-08-06,206.00,206.699997,204.300003,205.089996,1485800,200.570373
2015-08-05,206.940002,207.779999,204.929993,205.699997,1535500,201.166931
2015-08-04,205.009995,207.149994,204.800003,205.169998,1451500,200.648612
2015-08-03,205.75,205.949997,202.839996,204.690002,2075500,200.179194
2015-07-31,207.399994,207.470001,204.899994,205.070007,1644000,200.550825
2015-07-30,206.029999,207.350006,205.100006,207.199997,1342900,202.633875
2015-07-29,206.570007,208.130005,205.669998,206.839996,1987300,202.281808
2015-07-28,207.139999,207.179993,204.600006,206.240005,2018100,201.695039
2015-07-27,205.449997,205.839996,203.50,205.020004,2910500,200.501924
2015-07-24,211.449997,211.449997,206.899994,207.350006,2453900,202.780579
2015-07-23,213.660004,214.610001,210.699997,211.050003,2192700,206.399038
2015-07-22,211.800003,213.720001,211.75,213.25,2301300,208.550553
2015-07-21,211.979996,212.800003,210.75,211.50,1985300,206.839118
2015-07-20,212.679993,214.00,211.210007,212.389999,2175400,207.709504
2015-07-17,210.759995,212.800003,209.789993,212.460007,2849000,207.777969
2015-07-16,211.389999,214.139999,209.320007,211.179993,4405200,206.526163
2015-07-15,213.539993,213.610001,211.429993,212.960007,2536700,208.26695
2015-07-14,210.009995,212.759995,209.699997,212.160004,2090700,207.484577
2015-07-13,209.440002,210.309998,208.649994,210.119995,2041700,205.489525
2015-07-10,207.720001,207.979996,206.179993,207.190002,1840600,202.624101
2015-07-09,207.130005,207.550003,204.440002,204.809998,2173400,200.296545
2015-07-08,206.300003,206.789993,203.699997,204.059998,2185100,199.563073
2015-07-07,207.979996,208.970001,203.199997,208.210007,3304200,203.621627
2015-07-06,206.710007,208.529999,206.259995,208.039993,2816800,203.45536
2015-07-02,209.940002,210.630005,208.50,209.199997,1816600,204.589801
2015-07-01,211.630005,212.490005,208.949997,209.940002,2820300,205.313498
2015-06-30,209.889999,210.789993,208.149994,208.789993,4167300,204.188832
2015-06-29,210.139999,211.220001,207.649994,207.649994,3292800,203.073955
2015-06-26,213.619995,214.610001,212.550003,213.169998,2762600,208.472314
2015-06-25,215.149994,215.800003,212.490005,212.820007,2434700,208.130036
2015-06-24,216.199997,217.00,213.699997,214.429993,3945200,209.704542
2015-06-23,216.919998,218.770004,216.639999,218.399994,2735600,213.587055
2015-06-22,215.059998,216.809998,215.00,216.509995,2006100,211.738706
2015-06-19,214.119995,215.00,213.190002,213.190002,4163400,208.491877
2015-06-18,213.449997,215.009995,212.009995,214.600006,2167200,209.870808
2015-06-17,213.589996,214.50,212.570007,212.929993,1778400,208.237597
2015-06-16,211.850006,213.570007,211.130005,213.559998,1954200,208.853719
2015-06-15,210.889999,212.339996,210.380005,211.759995,1903800,207.093383
2015-06-12,213.479996,214.009995,212.009995,213.059998,2006200,208.364737
2015-06-11,213.169998,214.610001,212.869995,213.940002,2024100,209.225349
2015-06-10,209.720001,213.399994,209.360001,213.130005,2677300,208.433202
2015-06-09,210.00,210.440002,207.619995,209.020004,2278800,204.413774
2015-06-08,211.149994,211.699997,209.449997,209.789993,2180700,205.166795
2015-06-05,210.699997,211.940002,208.550003,210.449997,3225100,205.812254
2015-06-04,207.600006,210.059998,207.00,208.869995,3462500,204.267071
2015-06-03,207.520004,210.169998,206.770004,208.289993,2403500,203.699851
2015-06-02,206.850006,207.839996,205.649994,206.429993,2230700,201.88084
2015-06-01,207.320007,208.820007,206.889999,207.809998,2088200,203.230433
2015-05-29,208.229996,208.270004,205.619995,206.190002,2255500,201.646138
2015-05-28,208.080002,208.589996,207.279999,208.479996,3084900,203.885666
2015-05-27,206.889999,209.679993,205.869995,209.059998,3011500,203.817216
2015-05-26,207.520004,207.520004,205.00,206.380005,3336300,201.204432
2015-05-22,204.660004,208.259995,204.630005,207.800003,3040400,202.58882
2015-05-21,204.600006,205.210007,204.179993,204.949997,2225000,199.810286
