,1996-05-15,1996-11-13,1997-05-14,1997-11-12,1998-05-13,1998-11-11,1999-05-12,1999-11-17,2000-05-17,2000-11-15,2001-05-16,2001-11-14,2002-05-15,2002-11-13,2003-05-14,2003-11-12,2004-05-12,2004-11-17,2005-05-18,2005-11-16,2006-05-17,2006-11-15,2007-05-16,2007-11-14,2008-05-14,2008-11-12,2009-05-13,2009-11-18,2010-05-12,2010-11-17,2011-05-18,2011-11-16,2012-05-16,2012-11-14,2013-05-15,2013-11-13,2014-05-14,2014-11-12,2015-05-13,2015-11-18,2016-05-18
002325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.80757098,-0.19022688,NaN,-0.0409434,0.26027936,0.14236653,-0.24514895,-0.02280956,0.26065209,1.48332109,-0.13024439,-0.46659409,0.26785714
000705,NaN,NaN,0.1289904,-0.11034483,-0.03617571,-0.03753351,0.1448468,0.59367397,0.23053435,-0.15136476,-0.36111111,0.02974828,-0.16666667,-0.08,-0.33043478,0.16060606,NaN,-0.15934627,-0.08080194,0.397885,NaN,1.17136038,-0.21059574,0.23920913,-0.49662921,0.63839286,0.3106267,0.01247401,0.21765914,0.25632378,-0.17986577,0.04418985,0.0,0.14576803,-0.08071135,0.23660714,0.26113117,0.80820611,-0.22058047,-0.24238321,0.29133155
600895,0.23862069,0.22494432,-0.095,0.16022099,-0.12121212,-0.18226601,0.89759036,0.55873016,0.02240326,0.15338645,-0.3402418,0.34293194,-0.06432749,0.02708333,-0.1703854,0.55256724,-0.10551181,-0.38028169,-0.3125,0.67603306,0.04659763,1.96089517,0.44307423,-0.40109163,-0.31934088,0.80619421,0.00748783,-0.31252323,-0.01405405,0.09100877,-0.12763819,-0.09907834,-0.19693095,-0.01592357,0.17961165,-0.11316872,0.36365043,1.78448276,0.15817989,-0.34648799,0.04574812
000919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3308642,-0.22170686,-0.29439809,0.13074324,-0.03630117,-0.19547357,-0.24990366,0.14076548,-0.19882909,0.02023609,-0.08071625,0.12196584,-0.0446047,1.56975119,0.01947346,-0.08857112,-0.56667837,1.00216158,0.64048583,-0.22704837,0.09663687,-0.13887811,0.02062437,0.05123675,-0.24054622,-0.00829876,0.24267782,0.23905724,0.30887681,0.34602076,-0.11311054,-0.28173913,0.14043584
601689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.11083642,0.12984245,0.23205644
000157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01923077,0.13773585,-0.03814262,-0.05172414,0.10909091,-0.04918033,0.46034483,-0.31641086,-0.24352332,-0.00456621,1.29357798,NaN,2.16,0.71518987,-0.18265683,NaN,0.72363636,0.52531646,-0.36652835,0.76943231,0.18694472,-0.16238694,0.04629515,-0.13641756,-0.11263736,-0.21981424,-0.1468254,0.12790698,0.51546392,-0.27346939,-0.2659176,0.22704082
002265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.07356948,0.23653088,-0.04888417,0.34748603,-0.06716418,-0.28088889,-0.1105068,-0.20414119,0.02968395,-0.03561133,0.33989801,0.56036745,0.34482759,-0.12695435,NaN,1.04200913
603456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.70463368,-0.02254187,-0.25329559,0.01698262
600528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07936508,-0.18325792,-0.17174515,-0.22742475,0.11082251,-0.28604832,-0.18995633,-0.25202156,NaN,-0.02054795,2.29020979,0.49309245,-0.36014235,NaN,0.36888889,0.36904762,-0.34885375,0.05171786,0.02470276,-0.33029177,-0.08494533,0.12683824,-0.05220228,-0.11703959,-0.07407407,0.52,2.033241,-0.40228311,NaN,0.40091324
000892,NaN,NaN,NaN,NaN,NaN,NaN,0.99662162,1.6108291,0.05767984,-0.10784314,-0.23489011,-0.26032316,NaN,-0.09222222,-0.12607099,0.31232493,-0.21344717,-0.60515604,0.1443299,-0.27027027,-0.04526749,2.04310345,-0.20679887,NaN,NaN,NaN,0.58611825,NaN,-0.03205128,-0.03642384,-0.00687285,-0.21280277,-0.18241758,0.33602151,0.35814889,0.0162963,NaN,0.56705539,NaN,-0.23,0.2039725
600566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.05605258,-0.15087041,-0.11389522,-0.38431877,0.12964509,-0.22602107,-0.27459408,0.0674786,-0.02867715,0.07301587,1.15976331,-0.18082192,0.03896321,-0.51215194,0.94193336,0.20931023,0.08134307,0.32428219,0.07122535,NaN,-0.12476925,-0.25062035,0.29470199,0.87595908,0.36264485,0.05452726,0.28942125,-0.08792907,-0.07264733,0.40452371
002682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06260575,-0.0955414,0.01742958,0.42152622,0.72489349,0.12999294,-0.12815388,NaN
002546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1004902,-0.12694878,-0.02882653,NaN,-0.15895643,0.25679565,0.18829517,0.64453961,0.21614583,0.02569593,0.06263048
600199,NaN,NaN,NaN,NaN,NaN,-0.26724138,0.43921569,0.85831063,-0.14516129,-0.05660377,-0.31818182,0.02453333,-0.16892244,-0.18979017,-0.26401237,0.18067227,-0.25266904,-0.48869048,0.10011641,0.3015873,0.13821138,2.47142857,-0.20576132,-0.01554404,-0.50263158,0.47089947,1.30935252,0.47570093,0.4639012,0.18653111,0.07887701,0.1591754,-0.12196307,-0.17321527,-0.28915663,-0.28804143,0.21941542,0.29848156,-0.20514534,-0.0174443,0.08770053
002311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2231405,-0.02364865,0.34775087,0.06161746,-0.02660218,0.2310559,-0.20484359,-0.10964467,0.07311859,1.05830788,-0.11079564,0.24238026,-0.11507009
300318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.20238095,0.04950495,0.39842767,0.32246458,NaN,-0.16554678,-0.23458101,0.17109827
300542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
002309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0832693,-0.1384536,-0.16347305,NaN,-0.07060918,0.50893807,0.35547564,-0.05124337,0.02346877,0.40412537,-0.25572344,-0.16589767,-0.06084819
600601,0.48148148,0.3375,-0.3364486,2.16197183,-0.24766147,-0.28952043,0.53083333,0.56232989,0.12195122,0.39440994,-0.18708241,-0.2969863,-0.14458301,0.18769932,-0.08668968,0.2847543,0.13043478,-0.33169462,-0.22587624,0.1626607,-0.07211538,2.6373057,-0.14957265,-0.13768844,-0.55769231,0.64163373,0.12974853,0.02296945,-0.05324074,0.01711491,-0.20432692,-0.18731118,-0.14869888,0.0349345,0.09704641,0.21923077,NaN,1.19565217,-0.34563456,-0.44291609,0.28888889
