code,1996-01-04,1997-01-06,1998-01-05,1999-01-04,2000-01-04,2001-01-04,2002-01-04,2003-01-06,2004-01-05,2005-01-04,2006-01-04,2007-01-04,2008-01-04,2009-01-05,2010-01-04,2011-01-04,2012-01-04,2013-01-04,2014-01-06,2015-01-05
000503,1.6667,0.0947,0.4129,1.0417,1.1604,-0.3626,-0.0711,0.0537,0.6151,-0.3177,-0.0098,0.5737,-0.6697,1.5913,0.1009,-0.4241,0.5406,1.1561,0.5791,-0.092
603658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
002263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.469,0.2509,-0.4607,0.0558,0.072,0.2113,0.6279
002058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4571,-0.3845,0.8043,0.2006,-0.2636,-0.0286,0.2164,0.7269,1.1249
600715,NaN,0.0728,0.0494,0.5235,1.0618,-0.2491,-0.4314,0.211,-0.7084,-0.0683,0.4,2.4381,-0.7175,2.7549,0.3081,-0.5397,0.258,-0.09,2.2614,1.1731
300136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.4954,-0.1341,0.3054,0.9936,NaN
000564,1.4202,0.1316,-0.1261,0.7509,0.2872,-0.2232,-0.2099,-0.2171,-0.2155,-0.0794,0.1745,1.2,-0.5935,1.2364,0.0943,-0.3552,-0.0731,-0.0738,0.533,NaN
601313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4902,0.2368,0.4543
601985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
002055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4879,-0.6924,2.1652,1.3783,-0.3277,-0.368,0.8371,0.0689,1.8182
600962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1028,0.5865,2.5533,-0.6678,0.7245,-0.1385,-0.1416,-0.0477,-0.1794,1.3542,0.1598
002335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.4353,-0.2092,0.5599,0.6265,NaN
002539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.088,-0.0731,1.1073,1.1871
600879,1.8936,-0.3015,0.0632,1.3782,0.8543,-0.1828,-0.2335,0.3441,0.0213,0.2971,0.8472,0.8054,-0.6629,0.8136,0.199,-0.4105,-0.2025,0.5243,0.7788,0.1548
600206,NaN,NaN,NaN,NaN,0.1995,-0.4327,-0.3094,-0.0919,-0.4055,-0.2764,1.6,1.2051,-0.6128,0.973,0.2557,-0.4133,0.0496,0.813,0.2747,0.1346
000828,NaN,NaN,-0.3262,0.544,0.9344,-0.2801,-0.2692,-0.0135,-0.2525,-0.2371,-0.0179,3.0145,-0.7201,1.0227,-0.1072,-0.3262,0.0638,0.0275,0.9124,0.3921
600410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6768,0.5452,1.0039,-0.5195,0.7976,0.1486,-0.4637,-0.2121,0.0828,2.0167,0.1173
002340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3974,0.2079,0.1306,0.3307,0.4576
002585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.4028,0.1766,0.1676,0.2215
600481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3083,-0.3913,NaN,3.8549,-0.7452,4.2361,-0.0164,-0.5792,0.0396,0.5492,0.0246,0.575
002047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0996,1.1186,-0.5821,1.8249,-0.119,-0.4274,0.0352,1.216,-0.1326,0.7926
603609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2636
002038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0515,0.4483,5.4524,0.1808,0.2476,0.3154,-0.1988,0.2127,0.7193,-0.2445,0.0977
002206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8426,0.2029,-0.4158,-0.2893,-0.0017,0.5097,0.8575
300397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0981
600082,NaN,NaN,-0.0585,0.6384,0.2483,-0.1989,-0.1476,0.0008,-0.2162,-0.2058,1.3052,1.5332,NaN,1.9249,-0.2926,-0.3947,0.4037,-0.0155,0.5596,-0.1009
600532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3024,-0.1966,-0.2329,0.0182,1.7419,-0.4797,1.0595,0.1239,-0.2245,0.5829,-0.3994,0.3103,0.8084
603131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600000,NaN,NaN,NaN,NaN,-0.1894,-0.2543,-0.0783,NaN,-0.3688,0.517,1.1184,1.4824,-0.6622,1.1802,-0.2208,-0.1221,0.2351,-0.0308,0.8755,0.1698
000735,NaN,NaN,-0.0713,0.2361,0.833,-0.3598,-0.177,-0.1288,-0.2835,-0.3357,0.0802,2.297,-0.536,0.999,0.3171,-0.5074,0.4144,0.0831,0.2687,-0.1374
300101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.4525,-0.1748,0.646,0.0356,1.6165
002514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.6143,0.3454,0.4507,0.1152,0.5024
002052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1168,-0.5432,0.6955,-0.2585,-0.19,0.1959,1.8082,-0.3101,0.3871
300417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2959,0.1369,-0.3175,NaN,2.4232,-0.2809,1.7234,0.1337,-0.3895,-0.119,0.2546,0.3591,0.5253
000861,NaN,NaN,NaN,0.0217,0.8956,-0.3976,-0.2214,-0.1119,-0.2779,-0.2847,0.48,2.7568,-0.5108,1.4118,0.3902,-0.2408,0.041,-0.2481,0.5314,0.5952
600104,NaN,NaN,-0.0056,0.0393,0.2899,-0.145,-0.0309,1.2956,-0.5976,-0.2426,1.6966,2.2231,-0.7898,3.8493,-0.2733,-0.0471,0.2711,-0.2241,0.9434,-0.1084
603313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
002168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.5394,2.8227,1.8407,-0.5052,-0.1088,0.0244,0.2607,NaN
600765,NaN,-0.0239,0.5398,-0.1344,0.7285,-0.1719,-0.21,-0.3203,-0.2189,-0.0847,1.2032,3.5483,-0.4847,0.9326,0.3543,-0.5697,-0.1018,0.6372,0.5491,-0.0548
600824,0.2385,0.7546,-0.1463,0.1905,0.696,-0.1321,-0.1576,-0.2645,-0.0175,0.2,0.6875,1.1693,-0.502,1.5388,-0.2666,-0.281,-0.0854,0.4,0.35,0.4056
300185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0597,0.0119,0.3034,0.3862
